package_pin,edge_iob,side,coordinate,iob_index,internal_bel,physical_kind,ibuf_mode_value,ibuf_mode,output_enable_value,input_enabled,output_enabled,direction,clock_capability,shared_config
3,IOB_W32_1,W,32,1,IOB[7],iob,0,NONE,0,False,False,unused,,
4,IOB_W32_0,W,32,0,IOB[6],iob,0,NONE,0,False,False,unused,,
5,IOB_W30_1,W,30,1,IOB[3],iob,0,NONE,0,False,False,unused,,
6,IOB_W30_0,W,30,0,IOB[2],iob,0,NONE,0,False,False,unused,,
7,IOB_W29_0,W,29,0,IOB[0],input-only,0,NONE,,False,False,unused-input-only,,
9,IOB_W19_1,W,19,1,IOB[5],iob,0,NONE,0,False,False,unused,,
10,IOB_W19_0,W,19,0,IOB[4],iob,0,NONE,0,False,False,unused,,
12,IOB_W18_1,W,18,1,IOB[3],iob,0,NONE,0,False,False,unused,,
13,IOB_W18_0,W,18,0,IOB[2],iob,0,NONE,0,False,False,unused,,
15,IOB_W15_1,W,15,1,IOB[5],iob,0,NONE,0,False,False,unused,,
16,IOB_W15_0,W,15,0,IOB[4],iob,0,NONE,0,False,False,unused,,
19,IOB_W2_1,W,2,1,IOB[3],iob,0,NONE,0,False,False,unused,,
20,IOB_W2_0,W,2,0,IOB[2],iob,0,NONE,0,False,False,unused,,
21,IOB_W1_1,W,1,1,IOB[1],input-only,0,NONE,,False,False,unused-input-only,,
23,IOB_S1_0,S,1,0,IOB[4],iob,4,CMOS_VCCO,0,True,False,input,,M1
24,IOB_S2_0,S,2,0,IOB[1],iob,4,CMOS_VCCO,0,True,False,input,,M2
25,IOB_S1_1,S,1,1,IOB[3],iob,0,NONE,0,False,False,unused,,M0
27,IOB_S2_1,S,2,1,IOB[0],iob,0,NONE,0,False,False,unused,,CSO_B
28,IOB_S3_0,S,3,0,IOB[4],iob,4,CMOS_VCCO,0,True,False,input,,RDWR_B
29,IOB_S3_1,S,3,1,IOB[3],iob,4,CMOS_VCCO,1,True,True,bidirectional,,
30,IOB_S5_0,S,5,0,IOB[4],iob,4,CMOS_VCCO,0,True,False,input,,
31,IOB_S5_1,S,5,1,IOB[3],iob,4,CMOS_VCCO,0,True,False,input,,
32,IOB_S6_0,S,6,0,IOB[1],iob,4,CMOS_VCCO,0,True,False,input,,
33,IOB_S6_1,S,6,1,IOB[0],iob,6,DIFF,0,True,False,input,,
34,IOB_S8_0,S,8,0,IOB[1],iob,4,CMOS_VCCO,0,True,False,input,,D7
35,IOB_S8_1,S,8,1,IOB[0],iob,6,DIFF,0,True,False,input,,D6
36,IOB_S10_0,S,10,0,IOB[1],iob,4,CMOS_VCCO,0,True,False,input,,D5
37,IOB_S10_1,S,10,1,IOB[0],iob,6,DIFF,0,True,False,input,,D4
39,IOB_S11_2,S,11,2,IOB[2],input-only,0,NONE,,False,False,unused-input-only,,
40,IOB_S12_0,S,12,0,IOB[1],iob,0,NONE,0,False,False,unused,GCLK6,D3
41,IOB_S12_1,S,12,1,IOB[0],iob,6,DIFF,0,True,False,input,GCLK7,D2
43,IOB_S13_0,S,13,0,IOB[4],iob,4,CMOS_VCCO,0,True,False,input,GCLK0,
44,IOB_S13_1,S,13,1,IOB[3],iob,4,CMOS_VCCO,1,True,True,bidirectional,GCLK1,
46,IOB_S16_1,S,16,1,IOB[0],iob,0,NONE,0,False,False,unused,,CSI_B
48,IOB_S20_0,S,20,0,IOB[1],iob,0,NONE,0,False,False,unused,,INIT_B
49,IOB_S20_1,S,20,1,IOB[0],iob,0,NONE,0,False,False,unused,,D3
50,IOB_S22_0,S,22,0,IOB[1],iob,4,CMOS_VCCO,0,True,False,input,,D2
51,IOB_S24_0,S,24,0,IOB[1],iob,0,NONE,0,False,False,unused,,D0
52,IOB_S22_1,S,22,1,IOB[0],iob,6,DIFF,0,True,False,input,,D1
53,IOB_S24_1,S,24,1,IOB[0],iob,0,NONE,0,False,False,unused,,CCLK
56,IOB_E3_0,E,3,0,IOB[3],iob,0,NONE,0,False,False,unused,,
57,IOB_E3_1,E,3,1,IOB[2],iob,0,NONE,0,False,False,unused,,
59,IOB_E14_0,E,14,0,IOB[5],iob,0,NONE,0,False,False,unused,,
60,IOB_E14_1,E,14,1,IOB[4],iob,0,NONE,0,False,False,unused,,
61,IOB_E15_0,E,15,0,IOB[3],iob,0,NONE,0,False,False,unused,,
62,IOB_E15_1,E,15,1,IOB[2],iob,0,NONE,0,False,False,unused,,
64,IOB_E18_0,E,18,0,IOB[5],iob,0,NONE,0,False,False,unused,,
65,IOB_E18_1,E,18,1,IOB[4],iob,0,NONE,0,False,False,unused,,
68,IOB_E28_0,E,28,0,IOB[1],input-only,0,NONE,,False,False,unused-input-only,,
70,IOB_E29_0,E,29,0,IOB[7],iob,0,NONE,0,False,False,unused,,
71,IOB_E29_1,E,29,1,IOB[6],iob,0,NONE,0,False,False,unused,,
72,IOB_E31_0,E,31,0,IOB[3],iob,0,NONE,0,False,False,unused,,
73,IOB_E31_1,E,31,1,IOB[2],iob,0,NONE,0,False,False,unused,,
77,IOB_N23_1,N,23,1,IOB[0],iob,0,NONE,3,False,True,output,,
78,IOB_N23_0,N,23,0,IOB[1],iob,0,NONE,3,False,True,output,,
82,IOB_N13_2,N,13,2,IOB[2],input-only,0,NONE,,False,False,unused-input-only,,
83,IOB_N14_1,N,14,1,IOB[4],iob,0,NONE,0,False,False,unused,,
84,IOB_N14_0,N,14,0,IOB[3],iob,0,NONE,0,False,False,unused,,
85,IOB_N13_1,N,13,1,IOB[0],iob,0,NONE,3,False,True,output,,
86,IOB_N13_0,N,13,0,IOB[1],iob,0,NONE,3,False,True,output,,
88,IOB_N12_1,N,12,1,IOB[4],iob,0,NONE,0,False,False,unused,,
89,IOB_N12_0,N,12,0,IOB[3],iob,0,NONE,0,False,False,unused,,
90,IOB_N11_0,N,11,0,IOB[1],iob,0,NONE,0,False,False,unused,,
93,IOB_N5_1,N,5,1,IOB[0],iob,0,NONE,3,False,True,output,,
94,IOB_N5_0,N,5,0,IOB[1],iob,0,NONE,3,False,True,output,,
97,IOB_N1_2,N,1,2,IOB[2],input-only,0,NONE,,False,False,unused-input-only,,
98,IOB_N1_1,N,1,1,IOB[0],iob,0,NONE,3,False,True,output,,
99,IOB_N1_0,N,1,0,IOB[1],iob,0,NONE,3,False,True,output,,HSWAP_EN
